S.no,Menu,Questions,Query,Table name,Result & Answer Format,Question with Facility Code
1,Calibration Order,How many open calibration orders are assigned to Prabhu,"SELECT Count(*)
FROM ai.calibrationmasterdetails WHERE calibration_assigned_to_user ilike '%Prabhu%' and
calibration_status not in ('Closed','Completed','Cancelled')
AND calibration_facility_code in ('FESP-SSP');",calibrationmasterdetails,No of pending calibration order: 234,"#User Facility#
['FESP-SSP']

User Query: How many open calibration orders are assigned to Prabhu"
2,Calibration Order,How many calibration orders have been completed without a calibration certificate,"SELECT count(*)
FROM ai.calibrationmasterdetails cm
LEFT Join ai.calibration_master_instrument_details cmd
ON cm.calibration_id = cmd.calibration_master_instrument_details_calibration_order_number
WHERE cm.calibration_status in ('Closed','Completed')
AND cmd.calibration_master_instrument_details_calibration_order_number IS NULL
AND cm.calibration_facility_code in ('ATC-GJ');","calibrationmasterdetails,calibration_master_instrument_details",Completed calibration orders without Calibration Certificate: 23,"#User Facility#
['ATC-GJ']

User Query: How many calibration orders have been completed without a calibration certificate"
3,Calibration Order,How many calibration orders are in reopened status,"SELECT COUNT(*) AS reopen_count
FROM ai.calibrationmasterdetails cm
WHERE cm.calibration_status in ('Reopened') AND cm.calibration_facility_code in ('ATC-GJ');",calibrationmasterdetails,Total reopened calibration orders: 23,"#User Facility#
['ATC-GJ']

User Query: How many calibration orders are in reopened status"
4,Calibration Order,How many regular type calibration orders have approval pending,"SELECT count(*)
FROM ai.calibrationmasterdetails
WHERE calibration_status in ('Closed','Completed')
and calibration_type ilike '%Regular%'
AND (calibration_approver_status IS NULL OR calibration_approver_status != 'Approved')
AND calibration_facility_code in ('ATC-GJ');",calibrationmasterdetails,Calibration pending approval count: 20,"#User Facility#
['ATC-GJ']

User Query: How many regular type calibration orders have approval pending"
5,Calibration Order,Which is the latest Calibration Order from the calibration order list,"SELECT calibration_id,calibration_date
 FROM ai.calibrationmasterdetails
 WHERE calibration_facility_code in ('ATC-GJ') order by calibration_date,calibration_id desc limit 1;",calibrationmasterdetails,"Latest calibration order id : ATC-GJ-CO001754, Date : 23-Mar-2025","#User Facility#
['ATC-GJ']

User Query: Which is the latest Calibration Order from the calibration order list"
6,Calibration Order,How many calibration orders are completed?,select count(*) from ai.calibrationmasterdetails c where c.calibration_facility_code in ('ATC-GJ') and lower(calibration_status) in ('completed');,calibrationmasterdetails,Completed Calibration Orders: 23,"#User Facility#
['ATC-GJ']

User Query: How many calibration orders are completed?"
7,Calibration Order,What is the next calibration date for each instrument by facility code and instrument code from the calibration order,"SELECT calibration_facility_code, calibration_instrument_code, calibration_id,calibration_next_calibration_date
FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('SRP-WPB-PRS')",calibrationmasterdetails,"Calibration ID: SRIP-CO000742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190
Calibration Next Calibration Date: 20-Sep-2025","#User Facility#
['SRP-WPB-PRS']

User Query: What is the next calibration date for each instrument by facility code and instrument code from the calibration order"
8,Calibration Order,Which calibration order had a post-calibration error percentage greater than 0.5,"SELECT m.calibration_facility_code, m.calibration_instrument_code, m.calibration_id,p.calibration_post_calibration_error_percentage
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_post_calibration p ON m.calibration_id = p.calibration_post_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PRS') and p.calibration_post_calibration_error_percentage <> ''
AND CAST(p.calibration_post_calibration_error_percentage AS NUMERIC) > 0.5","calibrationmasterdetails, calibration_post_calibration","Calibration ID: SRIP-CO000742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S127
Error Percentage: 0.60","#User Facility#
['SRP-WPB-PRS']

User Query: Which calibration order had a post-calibration error percentage greater than 0.5"
9,Calibration Order,Which calibration order had a pre-calibration observed reading greater than 1500,"SELECT calibration_id, m.calibration_facility_code, m.calibration_instrument_code, p.calibration_pre_calibration_observed_reading
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_pre_calibration p ON m.calibration_id = p.calibration_pre_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PRS') and p.calibration_pre_calibration_observed_reading <> ''
AND CAST(p.calibration_pre_calibration_observed_reading AS NUMERIC) > 1500","calibrationmasterdetails, calibration_pre_calibration","Calibration ID: SRIP-CO000742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190
Observed Reading: 3930","#User Facility#
['SRP-WPB-PRS']

User Query: Which calibration order had a pre-calibration observed reading greater than 1500"
10,Calibration Order,What are the standard and observed readings in post calibration,"SELECT m.calibration_facility_code, m.calibration_instrument_code, m.calibration_id,calibration_post_calibration_standard_reading,calibration_post_calibration_observed_reading
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_post_calibration p ON m.calibration_id = p.calibration_post_calibration_calibration_id WHERE calibration_facility_code in ('SRP-WPB-PRS') order by 3 desc","calibrationmasterdetails, calibration_post_calibration","Calibration ID: SRIP-CO000742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190
Standard Reading: 2000
Observed Reading: 2000","#User Facility#
['SRP-WPB-PRS']

User Query: What are the standard and observed readings in post calibration"
